run,type,module,name,attrname,attrvalue,value
General-0-20250406-10:23:51-5078,runattr,,,configname,General,
General-0-20250406-10:23:51-5078,runattr,,,datetime,20250406-10:23:51,
General-0-20250406-10:23:51-5078,runattr,,,datetimef,20250406-102351,
General-0-20250406-10:23:51-5078,runattr,,,experiment,General,
General-0-20250406-10:23:51-5078,runattr,,,inifile,omnetpp.ini,
General-0-20250406-10:23:51-5078,runattr,,,iterationvars,,
General-0-20250406-10:23:51-5078,runattr,,,iterationvarsd,,
General-0-20250406-10:23:51-5078,runattr,,,iterationvarsf,,
General-0-20250406-10:23:51-5078,runattr,,,measurement,,
General-0-20250406-10:23:51-5078,runattr,,,network,Manhattan,
General-0-20250406-10:23:51-5078,runattr,,,processid,5078,
General-0-20250406-10:23:51-5078,runattr,,,repetition,0,
General-0-20250406-10:23:51-5078,runattr,,,replication,#0,
General-0-20250406-10:23:51-5078,runattr,,,resultdir,results,
General-0-20250406-10:23:51-5078,runattr,,,runnumber,0,
General-0-20250406-10:23:51-5078,runattr,,,seedset,0,
General-0-20250406-10:23:51-5078,config,,,image-path,../../Frameworks/inet-4.5.4-src/inet4.5/images:../../Frameworks/veins-5.3.1/veins-veins-5.3.1/images,
General-0-20250406-10:23:51-5078,config,,,cmdenv-express-mode,true,
General-0-20250406-10:23:51-5078,config,,,cmdenv-autoflush,true,
General-0-20250406-10:23:51-5078,config,,,cmdenv-status-frequency,1s,
General-0-20250406-10:23:51-5078,config,,,**.cmdenv-log-level,info,
General-0-20250406-10:23:51-5078,config,,,network,Manhattan,
General-0-20250406-10:23:51-5078,config,,,debug-on-errors,true,
General-0-20250406-10:23:51-5078,config,,,print-undisposed,true,
General-0-20250406-10:23:51-5078,config,,,sim-time-limit,200s,
General-0-20250406-10:23:51-5078,config,,,**.scalar-recording,true,
General-0-20250406-10:23:51-5078,config,,,**.vector-recording,true,
General-0-20250406-10:23:51-5078,config,,,*.playgroundSizeX,2500m,
General-0-20250406-10:23:51-5078,config,,,*.playgroundSizeY,2500m,
General-0-20250406-10:23:51-5078,config,,,*.playgroundSizeZ,50m,
General-0-20250406-10:23:51-5078,config,,,*.annotations.draw,true,
General-0-20250406-10:23:51-5078,config,,,*.obstacles.obstacles,"xmldoc(""config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
General-0-20250406-10:23:51-5078,config,,,*.manager.updateInterval,1s,
General-0-20250406-10:23:51-5078,config,,,*.manager.host,"""localhost""",
General-0-20250406-10:23:51-5078,config,,,*.manager.port,9999,
General-0-20250406-10:23:51-5078,config,,,*.manager.autoShutdown,true,
General-0-20250406-10:23:51-5078,config,,,*.manager.launchConfig,"xmldoc(""manhattan.launchd.xml"")",
General-0-20250406-10:23:51-5078,config,,,*.rsu[0].mobility.x,195,
General-0-20250406-10:23:51-5078,config,,,*.rsu[0].mobility.y,345,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].mobility.z,3,
General-0-20250406-10:23:51-5078,config,,,*.rsu[1].mobility.x,345,
General-0-20250406-10:23:51-5078,config,,,*.rsu[1].mobility.y,245,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].applType,"""TraCIDemoRSU11p""",
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].appl.headerLength,80 bit,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].appl.sendBeacons,false,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].appl.dataOnSch,false,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].appl.beaconInterval,1s,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].appl.beaconUserPriority,7,
General-0-20250406-10:23:51-5078,config,,,*.rsu[*].appl.dataUserPriority,5,
